# GL1L2  propL1h= 0.00000 propL1J= 1.00000  lambdaPhi= 0.000500000  lambdaPhij= 0.00200000  ungauged  ModAdam  learningRate= 0.00600000  betaV= 0.999000  betaM= 0.900000  eps= 1.00000e-06  batchSize=7007  miniBatchSize= 103  stepsPerEpoch= 68.0000
# learningRate.coolingMethod= (1+at)^b  stepsPerEpoch= 1.000000  warmupEpochs= 100.000000  maxLR= 0.00600000  maxLREpochs= 1736.00  constPerEpoch= 0.0100000  power= -0.500000
# initial_h: to reproduce observed amino acid frequencies at each site; pseudoNCountsForhia= 10.0
# sigma_initial_J for Gaussian: 0.001
# MCMC Kernel: GibbsWithMHStep  with pseudoNCountsForProposedPia= 10.0
# nIndependentMC= 7007  miniBatchSize= 103  for MCMC 
# initial configuration: observed sequence data
# nSamples for each MC run: 1
# nUnits= 48  nInitialIterationsPerUnit= 0  everyNIterationsPerUnit= 10
# initialT= 1.00000  finalT= 1.00000  annealingRate= 0.990000 ; annealingRate may be adjusted.
# maxExtendedIterations= 1
# minLearningStepsForBestKL= 3876  minLearningSteps= 1836  maxNoLearnings= 204
#
# Frequencies, fia and fijab, are calculated from the effective number of sequences, effectiveNConfigs= 6341.77 ,
# with the corrections, pseudoNCountsForBM= 0.0 , to avoid 0-counts.
#
# step	nNonEquil  nExtendedIterations of MC	<KLpi>	<KLpij> over ensemble and those over 97 minibatch ensembles with pseudoNCountsForKL= 1.00000
#0	0 0	0.0975072 1.19667	0.00000 0.0648353
306	0 1	0.0974118 1.16089	0.00358962 0.0872230
307	0 1	0.108254 1.18359	0.00363633 0.0873266
308	0 1	0.101801 1.14027	0.00360414 0.0872154
309	0 1	0.0990919 1.14137	0.00360670 0.0871586
310	0 1	0.113706 1.17081	0.00362722 0.0871764
311	0 1	0.110395 1.16272	0.00362843 0.0871173
312	0 1	0.0994072 1.12816	0.00363870 0.0871443
313	0 1	0.101241 1.14843	0.00366811 0.0871726
314	0 1	0.101450 1.15985	0.00367034 0.0871032
315	0 1	0.117857 1.17126	0.00369763 0.0870530
316	0 1	0.0983833 1.14856	0.00366686 0.0869162
317	0 1	0.109836 1.15550	0.00369806 0.0869264
318	0 1	0.128990 1.16493	0.00368070 0.0869128
319	0 1	0.111380 1.16468	0.00366112 0.0867919
320	0 1	0.0994911 1.14205	0.00365113 0.0867118
321	0 1	0.0962590 1.13932	0.00364561 0.0866668
322	0 1	0.0966957 1.14281	0.00365118 0.0866225
323	0 1	0.103421 1.13805	0.00365775 0.0865590
324	0 1	0.103754 1.13764	0.00364577 0.0864750
325	0 1	0.0984450 1.12927	0.00362301 0.0863998
326	0 1	0.110881 1.15515	0.00361830 0.0864013
327	0 1	0.111193 1.15335	0.00359360 0.0862015
328	0 1	0.102373 1.14649	0.00359289 0.0861694
329	0 1	0.104048 1.14419	0.00360252 0.0861046
330	0 1	0.0993491 1.13247	0.00360176 0.0859200
331	0 1	0.103201 1.14248	0.00362249 0.0858975
332	0 1	0.0935106 1.13163	0.00360932 0.0858074
333	0 1	0.0964645 1.14415	0.00355508 0.0855445
334	0 1	0.0887522 1.14626	0.00356052 0.0854947
335	0 1	0.102734 1.16099	0.00356944 0.0854299
336	0 1	0.106891 1.14806	0.00357115 0.0854238
337	0 1	0.0925631 1.14657	0.00354536 0.0852879
